,CIC17â†’CIC17,CIC17â†’CIC18_FRIDAY-2,CIC17â†’CIC18_THURSDAY-1,CIC17â†’CIC18_THURSDAY-2,CIC17â†’CIC18_THURSDAY-3,CIC17â†’CIC18_TUESDAY,CIC17â†’CIC18_WEDNESDAY-1,CIC17â†’CIC18_WEDNESDAY-2,CIC17â†’CIC18_WEDNESDAY-3,Global Avg Rank,Global Std
Bwd Packet Length Mean,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.3333333333333333,0.5
Bwd Packet Length Std,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,1.0,2.4444444444444446,2.5055493963954847
Fwd Header Length,6.0,3.0,3.0,3.0,10.0,3.0,3.0,8.0,10.0,5.444444444444445,3.1269438398822866
Bwd Packets/s,4.0,6.0,5.0,6.0,4.0,6.0,5.0,11.0,4.0,5.666666666666667,2.179449471770337
Subflow Fwd Packets,9.0,4.0,7.0,4.0,7.0,5.0,6.0,6.0,7.0,6.111111111111111,1.615893285805443
Subflow Bwd Bytes,7.0,8.0,8.0,8.0,5.0,7.0,9.0,3.0,3.0,6.444444444444445,2.242270674512285
Total Length of Fwd Packets,3.0,5.0,4.0,5.0,13.0,4.0,4.0,7.0,13.0,6.444444444444445,3.8765677832043357
Packet Length Variance,5.0,7.0,6.0,7.0,6.0,8.0,7.0,13.0,6.0,7.222222222222222,2.3333333333333335
Average Packet Size,8.0,9.0,9.0,9.0,8.0,9.0,8.0,2.0,9.0,7.888888888888889,2.2607766610417563
Total Backward Packets,12.0,12.0,12.0,12.0,3.0,12.0,12.0,5.0,5.0,9.444444444444445,3.8765677832043357
Packet Length Std,10.0,10.0,10.0,11.0,12.0,10.0,10.0,4.0,12.0,9.88888888888889,2.3687784005919825
Bwd Header Length,11.0,11.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,10.222222222222221,1.092906420717
Fwd IAT Std,13.0,13.0,13.0,13.0,11.0,13.0,13.0,12.0,11.0,12.444444444444445,0.8819171036881968
Packet Length Mean,15.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.222222222222221,0.44095855184409843
Bwd Packet Length Max,16.0,15.0,15.0,15.0,16.0,15.0,16.0,14.0,16.0,15.333333333333334,0.7071067811865476
Max Packet Length,14.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0,15.0,15.444444444444445,0.7264831572567788
Avg Bwd Segment Size,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
Total Length of Bwd Packets,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
Total Fwd Packets,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
Subflow Bwd Packets,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0.0
